path,backend,config,config_family,run_group,seed,device,model_params,batch_size,seq_len,operand_digits,result_digits,answer_order,loss_type,train_steps,first_step_time_sec,steady_state_step_time_ms,tokens_per_sec,eval_generated_exact_match_accuracy,eval_teacher_forced_exact_match_accuracy,test_generated_exact_match_accuracy,test_teacher_forced_exact_match_accuracy,carry_heavy_exact_match_accuracy,carry_heavy_generated_exact_match_accuracy,time_to_50,time_to_90,time_to_99
results/train_jax_colab_answer_only_5digit_seed0.json,jax,colab_answer_only_5digit_seed0,colab_answer_only_5digit,seeded,0,gpu,4751631,256,19,5,6,normal,answer_only,1000,20.133364520000214,7.40915126560769,656485.4496328143,0.955,0.9550000014305114,0.9575,0.9575000009536743,0.9995,0.9995,600,700,
results/train_jax_colab_answer_only_5digit_seed1.json,jax,colab_answer_only_5digit_seed1,colab_answer_only_5digit,seeded,1,gpu,4751631,256,19,5,6,normal,answer_only,1000,20.423219574999166,7.463830791788444,651676.0810482567,0.948,0.9480000042915344,0.9425,0.942500005722046,0.8935000057220459,0.8935,500,700,
results/train_jax_colab_answer_only_5digit_seed2.json,jax,colab_answer_only_5digit_seed2,colab_answer_only_5digit,seeded,2,gpu,4751631,256,19,5,6,normal,answer_only,1000,20.34121552600118,7.476141201195476,650603.0141889534,0.9505,0.9505000057220458,0.9485,0.9485000057220458,0.8970000033378601,0.897,600,800,
results/train_jax_colab_answer_only_6digit_long_seed0.json,jax,colab_answer_only_6digit_long_seed0,colab_answer_only_6digit_long,seeded,0,gpu,4752399,256,22,6,7,normal,answer_only,3000,19.827915876001498,7.894186894792549,713436.3646387933,0.9915,0.9915000042915344,0.9925,0.9925,1.0,1.0,700,1000,2800
results/train_jax_colab_answer_only_6digit_seed0.json,jax,colab_answer_only_6digit_seed0,colab_answer_only_6digit,seeded,0,gpu,4752399,256,22,6,7,normal,answer_only,1000,20.023361887999272,8.148910276669456,691135.3553768487,0.9195,0.9195000066757202,0.923,0.9230000038146973,1.0,1.0,700,1000,
results/train_jax_colab_answer_only_6digit_seed1.json,jax,colab_answer_only_6digit_seed1,colab_answer_only_6digit,seeded,1,gpu,4752399,256,22,6,7,normal,answer_only,1000,19.787517063999985,8.11364094265106,694139.6642775019,0.9235,0.9235000057220459,0.9215,0.921500002861023,0.9910000023841858,0.991,800,1000,
results/train_jax_colab_answer_only_6digit_seed2.json,jax,colab_answer_only_6digit_seed2,colab_answer_only_6digit,seeded,2,gpu,4752399,256,22,6,7,normal,answer_only,1000,20.146127861000423,8.14157073342409,691758.4068733328,0.919,0.9190000028610229,0.907,0.907000002861023,0.9845000042915344,0.9845,500,900,
results/train_jax_colab_reversed_answer_5digit_seed0.json,jax,colab_reversed_answer_5digit_seed0,colab_reversed_answer_5digit,seeded,0,gpu,4751631,256,19,5,6,reversed,answer_only,1000,20.277979415999653,7.465676856170344,651514.9387935173,1.0,1.0,1.0,1.0,1.0,1.0,300,300,300
results/train_jax_colab_reversed_answer_5digit_seed1.json,jax,colab_reversed_answer_5digit_seed1,colab_reversed_answer_5digit,seeded,1,gpu,4751631,256,19,5,6,reversed,answer_only,1000,20.420507413999076,7.478527009078527,650395.4581022931,1.0,1.0,1.0,1.0,0.9990000042915345,0.999,500,500,500
results/train_jax_colab_reversed_answer_5digit_seed2.json,jax,colab_reversed_answer_5digit_seed2,colab_reversed_answer_5digit,seeded,2,gpu,4751631,256,19,5,6,reversed,answer_only,1000,20.135788805999255,7.4766131830848375,650561.9430739525,1.0,1.0,1.0,1.0,1.0,1.0,400,400,400
